GeneSymbol,Importance
Pla2g12a,0.025007663766690696
Otc,0.020826025017131065
Rpl5,0.019822442760093983
Mmp12,0.018948475540697934
Reep5,0.01882612632603272
Kyat3,0.01663820265947385
Cited2,0.015748820877182032
Rbbp8,0.015205362906081257
Gpnmb,0.014249155699974177
Gstz1,0.014154576810489957
Prodh1,0.0139529812930087
Enc1,0.01386687203392768
Guk1,0.013834990825761766
Gadd45a,0.01272187484038363
Aadat,0.012520449271099653
Nhp2,0.01220465059416095
Abcb1b,0.011908207979640536
Chpf,0.011617179863119614
Slc66a3,0.011439059731844933
Gstm7,0.010863597273509044
Zwint,0.01046223995989276
Tmsb10,0.010397699055944782
Sez6,0.009809216153563165
Nat1,0.009708891856351447
Hexim1,0.008074374264140241
Cpq,0.00803858223476447
Klf6,0.00794792023564187
Stac3,0.0076051015507204965
Cyp2c11,0.007601045939993189
Rpl13,0.007284345687274428
Anxa7,0.007186059880176845
Lbp,0.006758684503042881
Lipc,0.006478600078632287
Rhob,0.006450416382497099
Cyp4b1,0.006369455160189585
Tnfrsf12a,0.006180605382186022
Ccl2,0.006080945592416809
Phgdh,0.00604727946220958
Vnn1,0.005713569623369975
Rexo2,0.005661831500815908
Cd44,0.005636296841079403
Snx10,0.005583653660245662
Wee1,0.00558288098657185
N4bp2,0.005328613093111063
Manba,0.005066688878027657
Mpv17l,0.004985975359373512
Abat,0.004846614408262703
Aadac,0.004804718343855322
Slc3a2,0.004799917209314512
Ttyh2,0.004459366682848084
Plpp2,0.004410798068517083
Cyp1a1,0.004407517533589428
S100a10,0.004358960897015891
Slc20a1,0.004333244744868875
Suox,0.004295151896753719
Pmm1,0.0042329613670190735
Angptl3,0.004196999663242722
Maff,0.004149178340599345
Ablim3,0.004106065573538244
Gucy1b2,0.0038792068437345562
Cfl1,0.0038719509463761782
Plp2,0.003823695647929767
Neurl3,0.003809139524984734
Abcc3,0.0037681258518205353
Srxn1,0.0037681175865711225
Hsdl2,0.0037640601305553344
Slc30a10,0.0037104625916115114
Pabpc4,0.00369329330205921
Ca3,0.0036732634183768054
Acot1,0.0035214689534368813
Uroc1,0.003383144899461205
Pvr,0.0033757317118784202
Bhmt,0.0033648578987960807
Rhbdd2,0.003363613092824857
Csrp2,0.003362235342151892
Syne2,0.0033542065293971058
Ifrd2,0.0033245161072213017
Rack1,0.0033214358557505153
Lgals3,0.0032918506389153094
Tceal9,0.0032755271710166573
Acot2,0.003262499499785429
Fggy,0.0032347783800200382
LOC100911177,0.003061007001934914
Cd276,0.003050883415796154
Myo5a,0.0030183911358627968
Rhoc,0.0028394093094945626
Dmgdh,0.0027641806177619156
Bbox1,0.002748608871611453
Atf3,0.002726659843193252
Coq8a,0.002721566501106064
Akr1c3,0.002680508192985451
Pycr1,0.0026448651380540453
Cmya5,0.0026181144836577405
Josd2,0.00256889736768505
Timp1,0.002562066534476665
Dusp16,0.0024984654659661767
Isyna1,0.002477965816718499
Ppp1r14b,0.0024762203426738688
Gls2,0.0024701261165912423
Cfhr4,0.002441340719165404
