GeneSymbol,logFC,t,P.Value,adj.P.Val
Abcb1b,2.833301585735298,13.27094114547603,1.3112069776941758e-26,1.9616967593282565e-22
Rbbp8,0.6538103861373656,12.740130967386495,1.8989797783528715e-25,9.47021215464577e-22
Zwint,0.8535915739498012,12.548961780878688,2.090301876730058e-24,7.8182515944396e-21
Vnn1,1.5283352765365077,11.726172111100777,4.445195302290383e-24,1.3300913383513282e-20
Guk1,0.5250468038475926,11.87314021573175,4.968274040214882e-23,1.0618621130807835e-19
Cited2,-0.7918163236572147,-11.334755700394293,2.3216554764689956e-22,4.341785947931581e-19
Nhp2,0.7220820784006179,11.542636118469604,2.9118370934857184e-22,4.356399475563983e-19
Rpl5,0.501918706617305,11.898023991572929,2.737953410749116e-22,4.356399475563983e-19
Aldh1a1,1.9159633036093346,10.824068994781042,1.6844948957370347e-21,1.884114792910995e-18
Inmt,-2.4246256731801497,-10.813959335629352,1.7630911771107497e-21,1.884114792910995e-18
Phgdh,1.6372893708458216,11.14359783181556,2.0362509497469276e-21,2.030956697277586e-18
Anxa7,0.730965843892216,11.45078477699098,3.3061166226756972e-21,3.091425674490694e-18
Rexo2,0.6039559207127816,11.238243736817534,4.690000284028879e-21,3.693004960492424e-18
Chpf,0.8178482095334392,11.059539831138684,2.087827946309508e-20,1.3580866915102847e-17
Akr7a3,1.373240117462057,10.464139968620474,2.6274320817908615e-20,1.6378754739863783e-17
R3hdm2,-0.5406225077407925,-10.56003791375373,3.7756202086658993e-20,2.0173947836375184e-17
Gpnmb,1.5684833958836375,10.821945326113937,3.624160927441196e-20,2.0173947836375184e-17
Pla2g12a,1.3460974745718906,11.046436018645728,4.176263927705467e-20,2.1545201593931548e-17
Rpsa,0.5375182719166034,10.76718536532634,4.777966781725834e-20,2.305908420045168e-17
Rpl13,0.5459659985978487,10.740654272215654,6.02402719936398e-20,2.816420966552641e-17
LOC100912002,0.5918238483835614,10.317727669232122,8.781562685469221e-20,3.864145862861912e-17
Pik3c2g,-1.0356063826676172,-10.670850399934539,1.3574716426742533e-19,5.0772833115123756e-17
Ablim3,0.7183060667208787,10.254696523091257,1.4546306390239552e-19,5.181602140580332e-17
Gas5,0.8736714974567619,10.155845127310101,1.8262032412182366e-19,6.353913184154892e-17
LOC102549726,1.1243832296648435,10.721383013780573,2.2453373351813245e-19,7.634657243556317e-17
Zdhhc2,0.8043359238232837,10.188905738879567,3.0111863648118146e-19,9.58518280935097e-17
Mpv17l,-0.6952001847145475,-10.31527634305307,3.5326556817186685e-19,1.1010846177956876e-16
Ttyh2,-0.5101969466668415,-10.661302019907437,4.107918328978607e-19,1.2291713223969787e-16
Irs3,-0.9415425121619156,-9.993463376134532,4.2872730568048085e-19,1.2576841608403282e-16
Papss2,-0.6756579135864662,-10.177580866549386,4.725081594339885e-19,1.3594604948638274e-16
Lgals3,1.1756706686760356,10.328082892831315,7.553005092488078e-19,1.982465073486213e-16
Stac3,-3.113022087457523,-10.6674164423258,9.534680940402333e-19,2.417768839819649e-16
Reep5,0.6898714051745287,10.392711813881526,1.2579670011651301e-18,3.0355555329728245e-16
Cd276,0.953902778857552,10.386309053796108,1.9235135231910575e-18,4.11109797435163e-16
Enc1,0.8387154723527805,10.516658622944517,1.8974934901888967e-18,4.11109797435163e-16
Plpp2,0.5218825037903487,9.992423419283572,1.9769347404030285e-18,4.165763471995734e-16
