Gene,SHAP
Cited2,0.91274923
Cyp4b1,0.7261204
Rbbp8,0.52149606
Gadd45a,0.4939901
Rpl5,0.35332912
Aadat,0.34837547
Syne2,0.32976493
Aadac,0.30958015
Reep5,0.2606502
Mmp12,0.25305232
Hexim1,0.18893485
Gpnmb,0.18374988
Slc66a3,0.17897104
Pla2g12a,0.16711314
Cyp1a1,0.16617613
Wee1,0.16289774
Rhbdd2,0.16104041
Rhoc,0.14679152
Dmgdh,0.14497098
Sez6,0.12343349
Cd44,0.12212104
Cmya5,0.115322135
Chpf,0.1138814
Lbp,0.10534771
Vnn1,0.10294324
Neurl3,0.09046888
Krt8,0.0853208
LOC100911177,0.08493283
Gls2,0.07870036
Mpv17l,0.0769704
Gstm7,0.07503632
Prodh1,0.07048285
Angptl3,0.06745321
Dusp16,0.06643506
N4bp2,0.06028764
Tceal9,0.058885895
Nat1,0.056566246
Cfhr4,0.04591748
Nhp2,0.04579253
Stac3,0.043175578
Cyp2c11,0.041287474
Bhmt,0.039660405
Pycr1,0.03843823
Maff,0.037659317
Otc,0.034867764
Uroc1,0.03304013
Slco2a1,0.033017103
Rhob,0.030794824
Akr1c3,0.030133063
Guk1,0.028448183
Gucy1b2,0.027882526
Csrp2,0.027083589
Enc1,0.024618888
Ccl2,0.022533456
Hes6,0.021687025
Klf6,0.020773727
Pmm1,0.018533971
Myo5a,0.017409893
Srxn1,0.017144714
Tmsb10,0.015345466
Suox,0.0152636245
Cd276,0.014743466
Kyat3,0.013587848
Slc30a10,0.011405778
Plp2,0.011404869
Lipc,0.011190452
Abat,0.011075559
Bbox1,0.010362492
Ca3,0.010143219
Manba,0.0095593175
Acot1,0.009011283
Abcc3,0.009004453
Slc20a1,0.00864075
S100a10,0.008332782
Abcb1b,0.008228013
Pxmp2,0.0072187968
Cfl1,0.007081071
Ablim3,0.0066904873
Lgals3,0.006383036
Ifrd2,0.006210054
Pvr,0.0060763
Hsdl2,0.005515817
Adhfe1,0.0052791806
Ttyh2,0.0052200756
Slc3a2,0.0050874883
Anxa7,0.0036912651
Pabpc4,0.0029460809
Acot2,0.0029279732
Phgdh,0.0017209336
Gstz1,0.0
Rpl13,0.0
Zwint,0.0
Tnfrsf12a,0.0
Cpq,0.0
Plpp2,0.0
Snx10,0.0
Rexo2,0.0
Rack1,0.0
Ppp1r14b,0.0
Paox,0.0
