Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2025,Monocarboxylic Acid Metabolic Process (GO:0032787),7/127,3.4580405451193823e-06,0.0030223274364343,0,0,12.406810035842296,156.0132596235485,VNN1;ACOT2;CYP1A1;ANGPTL3;ACOT1;CYP4B1;ABAT
GO_Biological_Process_2025,Fatty Acid Metabolic Process (GO:0006631),6/130,4.857156767304608e-05,0.0212257750731211,0,0,10.179821551132465,101.1107948177462,LIPC;ACOT2;CYP1A1;ANGPTL3;ACOT1;CYP4B1
GO_Biological_Process_2025,Lipid Metabolic Process (GO:0006629),7/259,0.0003237546815539215,0.0640523429748772,0,0,5.86857825567503,47.157104263601575,ACOT2;CYP1A1;ANGPTL3;AKR1C3;ACOT1;CYP4B1;PLPP2
GO_Biological_Process_2025,"Wound Healing, Spreading of Cells (GO:0044319)",3/27,0.0003251243529193447,0.0640523429748772,0,0,25.61340206185567,205.70898832313847,MMP12;RHOC;CD44
GO_Biological_Process_2025,Actin Filament-Based Transport (GO:0099515),2/6,0.0003664321680484968,0.0640523429748772,0,0,101.51020408163264,803.1179907171842,MYO5A;SYNE2
GO_Biological_Process_2025,Nucleoside Phosphate Metabolic Process (GO:0006753),3/31,0.0004924436798304106,0.067600287771463,0,0,21.949926362297496,167.17350275311443,ACOT2;ACOT1;REXO2
GO_Biological_Process_2025,Negative Regulation of G1/S Transition of Mitotic Cell Cycle (GO:2000134),3/32,0.0005414210691078273,0.067600287771463,0,0,21.191965872733736,159.39141404206077,WEE1;GPNMB;CCL2
GO_Biological_Process_2025,Regulation of Cell Migration (GO:0030334),9/479,0.0006657519321170712,0.0677373985439117,0,0,4.088613514145429,29.906545552909016,GPNMB;CITED2;RACK1;ANGPTL3;CCL2;RHOC;TMSB10;SYNE2;RHOB
GO_Biological_Process_2025,Negative Regulation of Cell Cycle G1/S Phase Transition (GO:1902807),3/36,0.0007681770335999374,0.0677373985439117,0,0,18.619493908153704,133.5295206771706,WEE1;GPNMB;CCL2
GO_Biological_Process_2025,Negative Regulation of Peptidyl-Serine Phosphorylation (GO:0033137),2/9,0.000870867194754317,0.0677373985439117,0,0,57.99708454810496,408.648679561366,GADD45A;RACK1
GO_Biological_Process_2025,Phosphate-Containing Compound Metabolic Process (GO:0006796),5/150,0.000943057893910248,0.0677373985439117,0,0,7.170598911070781,49.95313752128969,SLC20A1;ANGPTL3;COQ8A;PLPP2;DUSP16
GO_Biological_Process_2025,Positive Regulation of Apoptotic Process (GO:0043065),7/313,0.0009936440871893093,0.0677373985439117,0,0,4.819664066343384,33.32379102776523,LGALS3;TNFRSF12A;GADD45A;RACK1;AKR1C3;CCL2;RHOB
GO_Biological_Process_2025,Cellular Response to UV-A (GO:0071492),2/10,0.0010850384206118,0.0677373985439117,0,0,50.74489795918368,346.39177176286466,MMP12;TIMP1
GO_Biological_Process_2025,Glutamine Family Amino Acid Biosynthetic Process (GO:0009084),2/10,0.0010850384206118,0.0677373985439117,0,0,50.74489795918368,346.39177176286466,GLS2;PYCR1
